agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
2,2.8,10.0,10.0,3.0,10.0,10.0,2.8,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,2.8,16.0,0.0,0.0,16.2,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,3.0,3.2,0.0,0.0,3.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,3.0,3.2,19.0,0.0,3.0,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,3.0,10.0,10.0,3.2,10.0,10.0,3.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,3.0,15.8,0.0,0.0,16.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,3.2,3.4,0.0,0.0,3.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
1,3.2,3.4,19.0,0.0,3.2,19.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
2,3.2,10.0,10.0,3.4,10.0,10.0,3.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
3,3.2,15.6,0.0,0.0,15.8,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,3.4,3.6,0.0,0.0,3.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,3.4,3.6,19.0,0.0,3.4,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,3.4,10.0,10.0,3.6,10.0,10.0,3.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,3.4,15.4,0.0,0.0,15.6,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,3.6,3.8000000000000003,0.0,0.0,3.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,3.6,3.8000000000000003,19.0,0.0,3.6,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,3.6,10.0,10.0,3.8000000000000003,10.0,10.0,3.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,3.6,15.200000000000001,0.0,0.0,15.4,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,3.8,4.0,0.0,0.0,3.8,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018
